Survey,Subset,Outcome,Years,Age,Period,Cohort,PC_Ratio
GSS,Full,Continuous,1972-2024,5.4,0.1,2.05,0.05
GSS,Full,Binary,1972-2024,5.7,0.22,2.45,0.09
GSS,2000+,Continuous,2000-2024,4.5,0.22,2.17,0.1
GSS,2000+,Binary,2000-2024,3.8,0.38,1.85,0.21
BRFSS,Full,Continuous,1993-2025,5.9,0.12,1.27,0.1
BRFSS,Full,Binary,1993-2025,8.9,0.17,1.86,0.09
BRFSS,2000+,Continuous,2000-2025,4.7,0.12,1.07,0.11
BRFSS,2000+,Binary,2000-2025,7,0.12,1.4,0.09
NHANES,Full*,Continuous,1999-2022,5.4,0.46,0.25,1.81
NHANES,Full*,Binary,1999-2022,7.1,0.39,0.19,2.06
MEPS,Full*,Continuous,2000-2023,8.1,0.43,0.59,0.72
MEPS,Full*,Binary,2000-2023,10.5,0.68,0.36,1.89
