"period","age_slope","interaction","ci_10","ci_90","significant"
"1971",-0.0136175952559132,0,-0.0147372998876662,-0.0125000889479782,"ref"
"1975",-0.0138229664222703,-0.000205371166357126,-0.00144697889703659,0.00107179447960385,""
"1979",-0.0126243487648181,0.000993246491095092,-0.000359877769861343,0.00233421718277233,""
"1983",-0.0117324492342428,0.00188514602167042,0.000458341698016713,0.00333170276466436,"*"
"1987",-0.0132576947064266,0.00035990054948667,-0.000924043010507729,0.00168662336230823,""
"1991",-0.011557387983249,0.00206020727266422,0.000669109187959813,0.00343199376975309,"*"
"1995",-0.0110879365514885,0.0025296587044247,0.0011582536701963,0.0039165713479104,"*"
"1999",-0.0113195275786223,0.00229806767729095,0.000839473199052397,0.00375759347077665,"*"
"2003",-0.0105948756671666,0.00302271958874667,0.0015263752500103,0.00448440978794246,"*"
"2007",-0.0102349540918015,0.00338264116411172,0.00166518561751296,0.00503959385444669,"*"
"2011",-0.00916949175253283,0.00444810350338039,0.00278794742239966,0.00612106038860013,"*"
"2015",-0.00548040005535073,0.00813719520056249,0.00648864965337676,0.00975297847961321,"*"
"2019",-0.00409820806587942,0.0095193871900338,0.00798204579196411,0.0110409141033789,"*"
"2023",-0.00428571417496574,0.00933188108094748,0.0076218498006406,0.0110560052845368,"*"
