age_group,year,prevalence,se,ci_lower,ci_upper
18-29,1993,0.292529,0.005141,0.282453,0.302605
18-29,1994,0.280837,0.004967,0.271102,0.290572
18-29,1995,0.280357,0.005245,0.270077,0.290637
18-29,1996,0.264402,0.004496,0.255591,0.273214
18-29,1997,0.276191,0.004492,0.267387,0.284996
18-29,1998,0.26622,0.004432,0.257533,0.274906
18-29,1999,0.264084,0.004517,0.255231,0.272937
18-29,2000,0.25682,0.004059,0.248864,0.264776
18-29,2001,0.266196,0.004023,0.258311,0.27408
18-29,2002,0.262483,0.004302,0.254052,0.270914
18-29,2003,0.255913,0.004121,0.247837,0.26399
18-29,2004,0.249046,0.004132,0.240947,0.257146
18-29,2005,0.240964,0.004091,0.232946,0.248981
18-29,2006,0.246355,0.00497,0.236614,0.256095
18-29,2007,0.243708,0.004546,0.234797,0.252618
18-29,2008,0.252457,0.004761,0.243125,0.261789
18-29,2009,0.255292,0.004655,0.246169,0.264414
18-29,2010,0.258645,0.004655,0.249521,0.267768
18-29,2011,0.245599,0.003556,0.238629,0.252569
18-29,2012,0.249546,0.003528,0.242631,0.256462
18-29,2013,0.246453,0.003348,0.239891,0.253016
18-29,2014,0.252478,0.003462,0.245693,0.259263
18-29,2015,0.248021,0.003499,0.241163,0.254879
18-29,2016,0.24868,0.003314,0.242185,0.255175
18-29,2017,0.236073,0.00357,0.229076,0.243071
18-29,2018,0.232725,0.003527,0.225812,0.239639
18-29,2019,0.2248,0.003381,0.218174,0.231426
18-29,2020,0.301752,0.004302,0.29332,0.310185
18-29,2021,0.255767,0.003854,0.248213,0.263321
18-29,2022,0.22975,0.00355,0.222792,0.236708
18-29,2023,0.208628,0.003536,0.201698,0.215558
18-29,2024,0.196132,0.003204,0.189852,0.202413
18-29,2025,0.170461,0.011827,0.147281,0.193642
30-39,1993,0.303743,0.004361,0.295196,0.31229
30-39,1994,0.300059,0.004424,0.291388,0.308731
30-39,1995,0.295613,0.00455,0.286694,0.304531
30-39,1996,0.28033,0.004037,0.272418,0.288243
30-39,1997,0.286495,0.003977,0.2787,0.294289
30-39,1998,0.287781,0.004076,0.279793,0.29577
30-39,1999,0.275467,0.003943,0.267739,0.283196
30-39,2000,0.269142,0.003732,0.261827,0.276458
30-39,2001,0.268906,0.003554,0.261941,0.275871
30-39,2002,0.265544,0.003545,0.258597,0.272491
30-39,2003,0.260197,0.003569,0.253202,0.267192
30-39,2004,0.258365,0.003557,0.251394,0.265336
30-39,2005,0.253735,0.003386,0.247099,0.260371
30-39,2006,0.253827,0.003837,0.246307,0.261348
30-39,2007,0.249575,0.003603,0.242514,0.256637
30-39,2008,0.247404,0.003458,0.240627,0.254181
30-39,2009,0.25427,0.003555,0.247304,0.261237
30-39,2010,0.249458,0.003428,0.24274,0.256177
30-39,2011,0.229496,0.003146,0.22333,0.235661
30-39,2012,0.22561,0.003293,0.219155,0.232064
30-39,2013,0.221104,0.003245,0.214745,0.227464
30-39,2014,0.22835,0.003384,0.221718,0.234983
30-39,2015,0.220097,0.003323,0.213585,0.226609
30-39,2016,0.221504,0.003237,0.215159,0.227848
30-39,2017,0.210385,0.003398,0.203724,0.217045
30-39,2018,0.209911,0.003291,0.20346,0.216362
30-39,2019,0.204899,0.003425,0.198185,0.211612
30-39,2020,0.272018,0.004163,0.263858,0.280178
30-39,2021,0.238089,0.00384,0.230563,0.245616
30-39,2022,0.212884,0.00338,0.206259,0.219509
30-39,2023,0.190715,0.003368,0.184114,0.197315
30-39,2024,0.189091,0.003401,0.182425,0.195757
30-39,2025,0.169935,0.013317,0.143833,0.196036
40-49,1993,0.284349,0.004878,0.27479,0.293909
40-49,1994,0.283227,0.004806,0.273808,0.292645
40-49,1995,0.27453,0.005159,0.264419,0.284641
40-49,1996,0.260699,0.00416,0.252546,0.268852
40-49,1997,0.261783,0.004097,0.253752,0.269814
40-49,1998,0.25881,0.004146,0.250684,0.266937
40-49,1999,0.250165,0.003926,0.242469,0.25786
40-49,2000,0.233443,0.003739,0.226114,0.240771
40-49,2001,0.231833,0.003432,0.225107,0.238558
40-49,2002,0.230179,0.003239,0.223831,0.236527
40-49,2003,0.225119,0.003238,0.218773,0.231465
40-49,2004,0.22829,0.003247,0.221927,0.234653
40-49,2005,0.229531,0.003045,0.223562,0.2355
40-49,2006,0.228268,0.00331,0.22178,0.234755
40-49,2007,0.221644,0.0029,0.21596,0.227328
40-49,2008,0.218328,0.002762,0.212915,0.223741
40-49,2009,0.228222,0.003036,0.22227,0.234173
40-49,2010,0.222264,0.002777,0.216821,0.227706
40-49,2011,0.203624,0.002685,0.198362,0.208886
40-49,2012,0.203658,0.003007,0.197764,0.209552
40-49,2013,0.191977,0.002932,0.18623,0.197724
40-49,2014,0.202135,0.003099,0.196062,0.208208
40-49,2015,0.194264,0.003059,0.188268,0.20026
40-49,2016,0.195388,0.003068,0.189375,0.201401
40-49,2017,0.182312,0.003344,0.175757,0.188867
40-49,2018,0.187424,0.003451,0.180659,0.194188
40-49,2019,0.178899,0.003347,0.172338,0.18546
40-49,2020,0.242346,0.00419,0.234134,0.250559
40-49,2021,0.202719,0.003645,0.195574,0.209863
40-49,2022,0.190787,0.003199,0.184516,0.197057
40-49,2023,0.17039,0.003528,0.163476,0.177304
40-49,2024,0.168535,0.003479,0.161716,0.175353
40-49,2025,0.149113,0.010604,0.128329,0.169898
50-59,1993,0.244405,0.005925,0.232792,0.256017
50-59,1994,0.245486,0.005923,0.233877,0.257096
50-59,1995,0.231648,0.005828,0.220224,0.243071
50-59,1996,0.226782,0.005,0.216982,0.236582
50-59,1997,0.227,0.004639,0.217908,0.236092
50-59,1998,0.227779,0.004581,0.218802,0.236757
50-59,1999,0.226136,0.004579,0.21716,0.235111
50-59,2000,0.20593,0.004,0.198089,0.21377
50-59,2001,0.208002,0.003764,0.200626,0.215379
50-59,2002,0.200867,0.003529,0.193951,0.207784
50-59,2003,0.199994,0.00333,0.193466,0.206521
50-59,2004,0.195585,0.003345,0.18903,0.202141
50-59,2005,0.189674,0.002923,0.183945,0.195403
50-59,2006,0.19132,0.003053,0.185337,0.197304
50-59,2007,0.185945,0.00263,0.180791,0.1911
50-59,2008,0.182319,0.002373,0.177669,0.186969
50-59,2009,0.184144,0.002308,0.179621,0.188667
50-59,2010,0.185543,0.002459,0.180722,0.190363
50-59,2011,0.162017,0.002124,0.157854,0.166179
50-59,2012,0.1685,0.002359,0.163877,0.173124
50-59,2013,0.166773,0.002377,0.162115,0.171431
50-59,2014,0.166109,0.002399,0.161408,0.17081
50-59,2015,0.162853,0.002444,0.158063,0.167643
50-59,2016,0.165676,0.002508,0.16076,0.170592
50-59,2017,0.158363,0.002748,0.152977,0.163748
50-59,2018,0.161359,0.002848,0.155778,0.166941
50-59,2019,0.16559,0.002942,0.159825,0.171356
50-59,2020,0.203467,0.003676,0.196261,0.210672
50-59,2021,0.175914,0.003329,0.16939,0.182438
50-59,2022,0.15931,0.002948,0.153533,0.165087
50-59,2023,0.150109,0.003295,0.14365,0.156568
50-59,2024,0.141394,0.003007,0.135501,0.147287
50-59,2025,0.17031,0.01304,0.144752,0.195868
60-69,1993,0.160317,0.004825,0.15086,0.169774
60-69,1994,0.158865,0.004703,0.149647,0.168082
60-69,1995,0.177511,0.005225,0.167271,0.187751
60-69,1996,0.17408,0.004922,0.164432,0.183727
60-69,1997,0.167075,0.004589,0.158082,0.176069
60-69,1998,0.173487,0.004742,0.164192,0.182781
60-69,1999,0.169078,0.004557,0.160146,0.178009
60-69,2000,0.14854,0.003901,0.140895,0.156185
60-69,2001,0.159756,0.004512,0.150914,0.168599
60-69,2002,0.159412,0.003794,0.151975,0.166848
60-69,2003,0.159285,0.003432,0.152559,0.166011
60-69,2004,0.157474,0.003313,0.15098,0.163968
60-69,2005,0.159745,0.003003,0.153859,0.165631
60-69,2006,0.161207,0.00315,0.155033,0.167381
60-69,2007,0.156114,0.002468,0.151276,0.160951
60-69,2008,0.16629,0.002441,0.161505,0.171076
60-69,2009,0.160657,0.002181,0.156383,0.164932
60-69,2010,0.158714,0.00201,0.154775,0.162653
60-69,2011,0.14192,0.001924,0.138149,0.145691
60-69,2012,0.146052,0.002235,0.141671,0.150432
60-69,2013,0.144027,0.002224,0.139669,0.148386
60-69,2014,0.143968,0.002058,0.139935,0.148001
60-69,2015,0.143894,0.002205,0.139572,0.148216
60-69,2016,0.139736,0.002154,0.135515,0.143958
60-69,2017,0.141758,0.002505,0.136847,0.146669
60-69,2018,0.136297,0.002577,0.131245,0.141348
60-69,2019,0.12984,0.002272,0.125387,0.134293
60-69,2020,0.158716,0.002902,0.153029,0.164403
60-69,2021,0.137186,0.002767,0.131764,0.142608
60-69,2022,0.135444,0.002518,0.13051,0.140379
60-69,2023,0.125819,0.002869,0.120196,0.131442
60-69,2024,0.122502,0.002542,0.117521,0.127484
60-69,2025,0.109137,0.0089,0.091693,0.126581
70-79,1993,0.116002,0.004861,0.106476,0.125529
70-79,1994,0.12121,0.00516,0.111096,0.131323
70-79,1995,0.113643,0.004905,0.104028,0.123258
70-79,1996,0.117155,0.004544,0.108248,0.126061
70-79,1997,0.121126,0.004588,0.112135,0.130118
70-79,1998,0.124439,0.004658,0.115309,0.13357
70-79,1999,0.111122,0.004414,0.10247,0.119773
70-79,2000,0.107038,0.004142,0.09892,0.115155
70-79,2001,0.117349,0.00386,0.109783,0.124914
70-79,2002,0.107006,0.003771,0.099614,0.114398
70-79,2003,0.102594,0.003238,0.096248,0.10894
70-79,2004,0.10367,0.003355,0.097094,0.110246
70-79,2005,0.108873,0.002986,0.103021,0.114726
70-79,2006,0.112148,0.003212,0.105852,0.118443
70-79,2007,0.110238,0.002491,0.105357,0.11512
70-79,2008,0.115885,0.00252,0.110946,0.120823
70-79,2009,0.111299,0.002184,0.107018,0.115579
70-79,2010,0.112935,0.001982,0.109051,0.116818
70-79,2011,0.113811,0.002196,0.109506,0.118116
70-79,2012,0.117532,0.002528,0.112576,0.122488
70-79,2013,0.122978,0.002547,0.117987,0.127969
70-79,2014,0.124464,0.002438,0.119686,0.129241
70-79,2015,0.122937,0.002481,0.118074,0.1278
70-79,2016,0.124459,0.002557,0.119448,0.12947
70-79,2017,0.122489,0.002834,0.116935,0.128044
70-79,2018,0.12084,0.003073,0.114818,0.126863
70-79,2019,0.121103,0.002679,0.115852,0.126355
70-79,2020,0.13254,0.003549,0.125584,0.139496
70-79,2021,0.121971,0.00358,0.114955,0.128987
70-79,2022,0.109668,0.002648,0.104478,0.114857
70-79,2023,0.10008,0.002515,0.095151,0.10501
70-79,2024,0.101142,0.002513,0.096217,0.106067
70-79,2025,0.111642,0.01045,0.091159,0.132124
80-89,1993,0.104874,0.007522,0.090131,0.119617
80-89,1994,0.09073,0.007688,0.075661,0.105799
80-89,1995,0.104929,0.00778,0.089682,0.120177
80-89,1996,0.101003,0.006654,0.087962,0.114045
80-89,1997,0.101613,0.00653,0.088815,0.114411
80-89,1998,0.11157,0.006614,0.098607,0.124533
80-89,1999,0.104971,0.006796,0.091651,0.118291
80-89,2000,0.092073,0.006,0.080313,0.103832
80-89,2001,0.089959,0.005264,0.079642,0.100276
80-89,2002,0.09045,0.004623,0.081389,0.099512
80-89,2003,0.08857,0.004334,0.080076,0.097065
80-89,2004,0.080717,0.003813,0.073244,0.08819
80-89,2005,0.081561,0.003772,0.074167,0.088955
80-89,2006,0.085018,0.003379,0.078396,0.091641
80-89,2007,0.085189,0.002872,0.079561,0.090817
80-89,2008,0.088897,0.002956,0.083104,0.09469
80-89,2009,0.085616,0.002543,0.080631,0.090601
80-89,2010,0.085887,0.002342,0.081298,0.090477
80-89,2011,0.086368,0.00258,0.081312,0.091424
80-89,2012,0.089462,0.002696,0.084179,0.094745
80-89,2013,0.093247,0.003174,0.087027,0.099468
80-89,2014,0.093016,0.0031,0.08694,0.099093
80-89,2015,0.097145,0.003251,0.090774,0.103516
80-89,2016,0.102303,0.003499,0.095445,0.109161
80-89,2017,0.099519,0.003776,0.092119,0.106919
80-89,2018,0.092747,0.003468,0.08595,0.099545
80-89,2019,0.094944,0.003251,0.088572,0.101316
80-89,2020,0.095663,0.003454,0.088894,0.102432
80-89,2021,0.095383,0.003973,0.087596,0.103171
80-89,2022,0.105043,0.004012,0.097179,0.112907
80-89,2023,0.093138,0.00378,0.08573,0.100546
80-89,2024,0.094335,0.003538,0.087401,0.101269
80-89,2025,0.060769,0.010166,0.040843,0.080694
